"rule_id","rule_name","pattern_it_recognizes"
"rule_fbc658efd1856775","autoQAMessages.json_array.under_13.rules.indirect_patterns.014.i_am_in_1_6_st_nd_rd_th_grade","/i am in [1-6](?:st|nd|rd|th) grade/ig"
"rule_ee88dd4d38489b87","autoQAMessages.json_array.under_13.rules.indirect_patterns.012.i_am_in_grade_d","/i am in grade \d/gi"
"rule_cb94613c9b6507b3","autoQAMessages.json_array.under_13_rules.indirect_patterns.015.i_m_in_1_6_st_nd_rd_th_grade","/i'm in [1-6](?:st|nd|rd|th) grade/ig"
"rule_55d3e5ee92442178","autoQAMessages.json_array.under_13_rules.indirect_patterns.013.i_m_in_grade_d","/im in grade \d/gi"
"rule_930e74db78b8f299","autoQAMessages.json_array.under_13.rules.indirect_patterns.002.primary_school","/primary school/gi"
"rule_e6dfe15a683267ac","autoQAMessages.json_array.under_13.rules.indirect_patterns.007.second_grader","/second grader/gi"
"rule_45d648dd0cc45f61","autoQAMessages.json_array.under_13.rules.indirect_patterns.011.sixth_grader","/sixth grader/gi"
"rule_719b6a949d37ca24","autoQAMessages.json_array.under_13.rules.indirect_patterns.008.third_grader","/third grader/gi"
"rule_89b7c821fd57c3ee","autoQAMessages.json_array.under_13.rules.implicit_patterns.001.under_13","/under 13/gi"
"rule_ccb279bed5ced46e","autoQAMessages.json_array.under_13.rules.implicit_patterns.002.younger_than_13","/younger than 13/gi"
"rule_291378e2af96bb4c","autoQAMessages.labels.short_offensive.f_u","/f u/gi"
"rule_439752bdc63861f3","autoQAMessages.json_array.keyword.exact.042.bye","/\bbye\b/gi"
"rule_7d708b1150714790","autoQAMessages.json_array.keyword.exact.034.delete","/\bdelete\b/gi"
"rule_392fcfaacf118d18","autoQAMessages.json_array.keyword.exact.043.detener","/\bdetener\b/gi"
"rule_157e140013fc23de","autoQAMessages.json_array.keyword.exact.029.done","/\bdone\b/gi"
"rule_c3dc65183282baaf","autoQAMessages.json_array.keyword.exact.019.drop","/\bdrop\b/gi"
"rule_b765bd113a4e315e","autoQAMessages.json_array.keyword.exact.035.exit","/\bexit\b/gi"
"rule_68bfff39badc29a8","autoQAMessages.json_array.keyword.exact.016.junk","/\bjunk\b/gi"
"rule_8f5757a432df1604","autoQAMessages.json_array.keyword.exact.020.leave","/\bleave\b/gi"
"rule_f09cbbf5c87bf2fc","autoQAMessages.json_array.keyword.exact.036.mute","/\bmute\b/gi"
"rule_949dbd040d7b98f7","autoQAMessages.json_array.keyword.exact.038.off","/\boff\b/gi"
